category,name,detail,address,lat,lng
โรงงานรีไซเคิล,บริษัท วี แกรนด์ พลาสติก จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยพลาสติก และทำเม็ดพลาสติก,"เลขที่ - ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.44182,100.07581
อื่นๆ,บริษัท เบต้า เอ็นจิเนียริ่ง กาญจนบุรี จำกัด,ผลิตพลังงานไฟฟ้า ด้วยลมธรรมชาติ,"เลขที่ ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.45183,100.08351
โรงงานอาหารและเครื่องดื่ม,บริษัท เอวาน่า อินดัสทรี จำกัด,ผลิตน้ำดื่ม,"เลขที่ 84/24 ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.45785,100.08628
โรงงานรีไซเคิล,บริษัท กิจรุ่งเรืองถาวร จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"เลขที่ โฉนดที่ดินเลขที่ 145732 ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.47039, 100.082936
อื่นๆ,บริษัท โรงเลื่อยจักรประสาร จำกัด,ทำคอนกรีตผสมเสร็จ,"เลขที่ 38/4 ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.4712754, 100.0675633
อื่นๆ,บริษัท ชนะกิจ ไพศาล จำกัด,รีดยาง ผลิตยางขึ้นรูป,"เลขที่ 79/12 ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.4719029, 100.0861785
โรงงานอาหารและเครื่องดื่ม,บริษัท แลบ อินเตอร์ จำกัด,ทำอาหารเสริมและวัตถุดิบสำหรับการเลี้ยงสัตว์,"เลขที่ - ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.47402,100.11546
โรงงานผลิตเม็ดพลาสติก,บริษัท หวูไท่ นิว แมททีเรียล จำกัด,ทำเม็ดพลาสติกและการล้าง บด หรือย่อยพลาสติก,"เลขที่ 2/4 ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.53139, 100.24848
โรงงานพลาสติกอื่นๆ,บริษัท เอฟ อี เอส คอร์ปอเรชั่น จำกัด,ผลิตถุงพลาสติก,"เลขที่ โฉนดที่ดินเลขที่ 56868 ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.72094, 100.51023
โรงงานพลาสติกอื่นๆ,บริษัท หง ไห่ เอ็นเตอร์ไพรส์ จำกัด,ถอดแยก บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ บดย่อยพลาสติก และนำเศษตะกรันโลหะมาบดย่อยเพื่อนำไปใช้ประโยชน์ใหม่,"เลขที่ 47/4 ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.49150, 100.07520
โรงงานรีไซเคิล,บริษัท เอส.พี.วี.ปิโตรเลียม จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"เลขที่ 18/7 ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.61757, 100.07420
อื่นๆ,บริษัท พี.เอส.เพิ่มทรัพย์ จำกัด,รีดลวดโลหะ อลูมิเนียม,"เลขที่ 81/1 ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.4762506, 100.1013066
อื่นๆ,นางฐิติกา เจริญบรรพชน,ซ่อมแซมเครื่องกลึง เครื่องคว้าน เครื่องเจาะ เครื่องกัด เครื่องเจียร เครื่องตัด และเครื่องไส,"เลขที่ ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.47638,100.082634
โรงงานอาหารและเครื่องดื่ม,บริษัท อินเทคค์ ฟู้ดส์ จำกัด,โรงงานแปรรูปอาหารวัตถุดิบจากเนื้อสัคว์ หนังสัตว์ แป้ง โดยวิธี บด ผสม อบ ทอด นึ่ง รมควัน และบรรจุผลิตภัณฑ์,"เลขที่ 77/12 ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.4777723, 100.1114506
โรงงานรีไซเคิล,บริษัท คอวิน อินดัสทรี่ จำกัด,นำกระดาษที่ใช้แล้วมาคัดแยกเศษพลาสติกและโลหะออก เพื่อนำไปผ่านกระบวนการบดและปั่นแห้งเป็นกระดาษอัดก้อนที่นำกลับคืนมาใช้ได้อีก,"เลขที่ 27/16 ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.4799345, 100.0648046
อื่นๆ,บริษัท สายน้ำใส จำกัด,หลอมหล่อเหล็ก, โลหะและกลึงโลหะทั่วไป,"เลขที่ 88/4 ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.4865959, 100.0907134
